URL,Filters,,,,,,,,,,,,,,
https://app.dealroom.co/investors/f/all_slug_locations/anyof_~united_states~/company_status/not_closed/investor_type/anyof_accelerator?selectedColumns=name%2CpreferredRound%2ChqLocations%2CdealSizeEnhanced%2CinvestorNumberOfRoundsIndustry%2CinvestorTotalFundingEnhanced%2CinvestorPorfolioSize%2CinvestmentsValuationEnhanced%2Cinvestments%2CinvestorExitsNum%2CinvestorExitScore%2CinvestorExitsFundingEnhanced%2ClpInvestmentsNum%2ClpInvestments&sort=-rounds_count_12_months&investorNumberOfRoundsIndustry=rounds_count_12_months&heatMapType=&groupId=1413&id=92070,Include All locations: United states; Investor type: Accelerator; Exclude Company status: Closed,,,,,,,,,,,,,,
ID,Type,Dealroom URL,Website,Name,HQ region,HQ country,HQ city,Sectors of focus,Launch year,Last round date,Portfolio size,Rounds number (12 months),Exits total (USD M),Exits number,Total value of current portfolio (USD M)
2999799,accelerator,https://app.dealroom.co/investors/consensys_mesh,https://mesh.xyz/,ConsenSys Mesh,North America,United States,New York City,,2015,Feb/2026,147,2,460,0,14190.81
2637644,accelerator,https://app.dealroom.co/investors/halliburton_labs,https://halliburtonlabs.com,Halliburton Labs,North America,United States,Houston,,2020,Aug/2026,22,2,200,0,1034.26
2492829,accelerator,https://app.dealroom.co/investors/dfs_lab,http://dfslab.net,DFS Lab,North America,United States,Seattle,,2016,May/2026,38,2,,0,662.14
911389,accelerator,https://app.dealroom.co/investors/startx,http://startx.com/,StartX,North America,United States,Palo Alto,non-profit,2009,Jun/2026,645,2,5855.52,0,26980.19
196351,accelerator,https://app.dealroom.co/investors/inovexus,http://inovexus.com,Inovexus,Europe,France,Paris,,2013,May/2026,23,3,,,194.62
136642,accelerator,https://app.dealroom.co/investors/reach_,http://nar-reach.com,Reach,North America,United States,Chicago,,2012,Jul/2026,202,3,45.44,0,4516.32
132834,accelerator,https://app.dealroom.co/investors/indie_bio,https://indiebio.co/,Indie Bio,North America,United States,San Francisco,biotechnology,2015,Sep/2026,274,3,,0,9444.74
6333664,accelerator,https://app.dealroom.co/investors/blueprint_medtech,https://blueprintneurotech.org,Blueprint MedTech,North America,United States,,neurology;neuromodulation and neurostimulation;brain computer interfaces,,Apr/2026,2,2,,,9.04
5582362,accelerator,https://app.dealroom.co/investors/mits_capital,https://mits.capital/,MITS Capital,Europe,Ukraine,Kyiv,,2024,Jul/2026,10,2,,,120.16
4938147,accelerator,https://app.dealroom.co/investors/discovery_to_impact,https://discoveries.utexas.edu/,Discovery to Impact,North America,United States,Austin,,1883,May/2026,26,2,,0,501.56
4726506,accelerator,https://app.dealroom.co/investors/praxis_center_for_venture_development,https://pcvd.cornell.edu,Praxis Center for Venture Development,North America,United States,Ithaca,,,Mar/2026,12,2,,0,5261.4
4408667,accelerator,https://app.dealroom.co/investors/rice_alliance_clean_energy_accelerator,https://ricecleanenergy.org,Rice Alliance Clean Energy Accelerator,North America,United States,Houston,,,Jul/2025,1,0,,,
3846804,accelerator,https://app.dealroom.co/investors/maryland_energy_innovation_accelerator,http://mdeia.org,Maryland Energy Innovation Accelerator,North America,United States,College Park,,2019,Jul/2026,2,2,,,1.4
3846651,accelerator,https://app.dealroom.co/investors/graham_walker_2,http://grahamwalker.com,Graham & Walker,North America,United States,Seattle,,2017,Apr/2026,36,2,,0,371.2
3846318,accelerator,https://app.dealroom.co/investors/solen_ventures,https://solensoftwaregroup.com,Solen Ventures,North America,United States,Cottonwood Heights,,2021,May/2026,2,2,,,
3301176,accelerator,https://app.dealroom.co/investors/aves_lair,https://syntaxcapital.com,Aves Lair,North America,United States,New York City,,2020,Jul/2025,14,0,,0,420.92
