name,website,domain,cohort,state,sector
Fêra,https://territoriosustentavel.org/,territoriosustentavel.org,2024.2,Alagoas,Tecnologias Sustentáveis e Verdes
Fitocrops Agroscience,https://linktr.ee/fitocrop_agro,linktr.ee,2024.2,Rio Grande do Sul,Agricultura
Flokia,http://www.flokia.com.br,flokia.com.br,2024.2,Espírito Santo,Varejo
Generatur,https://www.instagram.com/fugereurbemtbt?igsh=ZmV1OGo4MjExNnZ1,instagram.com,2024.2,Rio Grande do Sul,Turismo e Hotelaria
GESTÃO INTELIGENTE DAS FLORESTAS URBANAS/CTC FLORETAL,http://www.ctcsolucoesflorestais,ctcsolucoesflorestais,2024.2,Minas Gerais,Tecnologias Sustentáveis e Verdes
Gloube - Marketplace de viagens personalizadas,http://www.gloube.com,gloube.com,2024.2,São Paulo,Turismo e Hotelaria
GreenBug,https://www.greenbug.com.br,greenbug.com.br,2024.2,São Paulo,Preservação Ambiental
Hub EducAmaz - Educação Empreendedora na Amazônia,https://educamazempreende.wixsite.com/educamaz,educamazempreende.wixsite.com,2024.2,Pará,Educação
inPyro,https://www.instagram.com/in_pyro?igsh=MWI1ZnAwanlta3g3dQ==,instagram.com,2024.2,Paraíba,N/A
Íris Biotec,https://sites.google.com/view/irisbiotec,sites.google.com,2024.2,Pernambuco,Tecnologias Sustentáveis e Verdes
Kit Aerodinâmico,http://www.toigosa.com.br,toigosa.com.br,2024.2,Rio Grande do Sul,Automóveis
LAVAÍ,http://lavai.com.vc,lavai.com.vc,2024.2,São Paulo,Serviços domésticos
Litro de Luz Brasil,https://www.litrodeluz.com/,litrodeluz.com,2024.2,Amazonas,Energia
MAZODAN - Laboratório & Produtos Cimentícios,https://www.youtube.com/channel/UCIpwcxJK4MCuvEaBeKrU93w,youtube.com,2024.2,Amapá,Construção civil
Moradia Legal & Combo Rural: seu imóvel 100% regular,https://moradialegal.com.br/,moradialegal.com.br,2024.2,Bahia,Infraestrutura
Mulheres em Convergência,https://mulheresemconvergencia.com.br,mulheresemconvergencia.com.br,2024.2,Rio Grande do Sul,Outros serviços
Multidisciplinar 360,https://www.multidisciplinar360.com.br/,multidisciplinar360.com.br,2024.2,São Paulo,Educação
Natíz,https://natiz.com.br,natiz.com.br,2024.2,Santa Catarina,Turismo e Hotelaria
ParaCiclo,http://www.paraciclo.app,paraciclo.app,2024.2,São Paulo,Mobilidade Urbana
Planta Feliz,https://www.plantafelizadubo.com.br/,plantafelizadubo.com.br,2024.2,São Paulo,Tecnologias Sustentáveis e Verdes
Rancho,http://rancho.cc,rancho.cc,2024.2,Santa Catarina,Varejo
SmartHive,http://mercadodomel.me,mercadodomel.me,2024.2,Amazonas,Agronegócio
